id_ruta,ruta
340,"(11, 4, 3, 1, 6, 5, 9, 7, 10, 8, 2, 0)"
341,"(9, 7, 2, 6, 5, 11, 4, 3, 10, 8, 1, 0)"
342,"(5, 9, 7, 1, 6, 11, 4, 3, 10, 8, 2, 0)"
343,"(9, 11, 4, 6, 0, 5, 3, 7, 10, 8, 1, 2)"
344,"(5, 9, 4, 7, 1, 11, 3, 10, 8, 2, 6, 0)"
345,"(9, 4, 3, 2, 5, 11, 7, 10, 8, 1, 6, 0)"
346,"(5, 9, 4, 7, 11, 3, 10, 8, 1, 2, 6, 0)"
347,"(9, 11, 4, 3, 2, 5, 7, 10, 8, 1, 6, 0)"
348,"(5, 9, 11, 3, 2, 4, 7, 10, 8, 1, 6, 0)"
349,"(5, 4, 7, 9, 11, 3, 10, 8, 1, 2, 6, 0)"
350,"(9, 4, 3, 5, 11, 7, 10, 8, 1, 2, 6, 0)"
351,"(5, 4, 7, 1, 0, 9, 11, 3, 10, 8, 2, 6)"
352,"(9, 3, 1, 2, 6, 5, 11, 4, 7, 10, 8, 0)"
353,"(11, 4, 7, 2, 6, 5, 9, 3, 10, 8, 1, 0)"
354,"(5, 11, 4, 7, 0, 9, 3, 10, 8, 1, 2, 6)"
355,"(5, 11, 4, 7, 1, 9, 3, 10, 8, 2, 6, 0)"
356,"(5, 9, 4, 10, 8, 1, 11, 3, 7, 2, 6, 0)"
357,"(5, 9, 7, 8, 6, 11, 4, 3, 10, 1, 2, 0)"
358,"(9, 11, 3, 5, 4, 7, 10, 8, 1, 2, 6, 0)"
359,"(5, 9, 4, 7, 10, 8, 1, 6, 11, 3, 2, 0)"
360,"(9, 11, 3, 2, 5, 4, 7, 10, 8, 1, 6, 0)"
361,"(5, 11, 4, 7, 9, 3, 10, 8, 1, 2, 6, 0)"
362,"(5, 7, 8, 9, 11, 4, 3, 10, 1, 2, 6, 0)"
363,"(9, 11, 8, 6, 5, 4, 3, 7, 10, 1, 2, 0)"
364,"(5, 11, 4, 8, 6, 9, 3, 7, 10, 1, 2, 0)"
365,"(5, 3, 7, 1, 6, 9, 11, 4, 10, 8, 2, 0)"
366,"(9, 3, 7, 2, 6, 5, 11, 4, 10, 8, 1, 0)"
367,"(5, 9, 4, 7, 1, 6, 11, 3, 10, 8, 2, 0)"
368,"(11, 7, 1, 2, 6, 5, 9, 4, 3, 10, 8, 0)"
369,"(9, 11, 4, 3, 5, 7, 10, 8, 1, 2, 6, 0)"
370,"(9, 4, 10, 6, 5, 11, 3, 7, 8, 1, 2, 0)"
371,"(11, 4, 1, 6, 5, 9, 3, 7, 10, 8, 2, 0)"
372,"(9, 4, 6, 0, 5, 11, 3, 7, 10, 8, 1, 2)"
373,"(5, 7, 1, 2, 6, 9, 11, 4, 3, 10, 8, 0)"
374,"(11, 8, 6, 5, 9, 4, 3, 7, 10, 1, 2, 0)"
375,"(4, 10, 8, 6, 5, 9, 11, 3, 7, 1, 2, 0)"
376,"(5, 9, 11, 3, 2, 6, 4, 7, 10, 8, 1, 0)"
377,"(9, 4, 8, 6, 5, 11, 3, 7, 10, 1, 2, 0)"
378,"(5, 11, 3, 7, 9, 4, 10, 8, 1, 2, 6, 0)"
379,"(5, 9, 11, 3, 4, 7, 10, 8, 1, 2, 6, 0)"
380,"(5, 4, 7, 10, 9, 11, 3, 8, 1, 2, 6, 0)"
381,"(5, 4, 1, 9, 11, 3, 7, 10, 8, 2, 6, 0)"
382,"(9, 4, 3, 7, 1, 2, 5, 11, 10, 8, 6, 0)"
383,"(5, 11, 4, 7, 6, 9, 3, 10, 8, 1, 2, 0)"
384,"(5, 11, 4, 7, 10, 8, 9, 3, 1, 2, 6, 0)"
385,"(9, 11, 2, 5, 4, 3, 7, 10, 8, 1, 6, 0)"
386,"(5, 4, 8, 6, 9, 11, 3, 7, 10, 1, 2, 0)"
